session_id,window_start,T_Ambient_Actual_mean,T_Ambient_Actual_std,T_Ambient_Actual_min,T_Ambient_Actual_max,T_Pinda_Actual_mean,T_Pinda_Actual_std,T_Pinda_Actual_min,T_Pinda_Actual_max,T_Bed_Setpoint_mean,T_Bed_Setpoint_std,T_Bed_Setpoint_min,T_Bed_Setpoint_max,Power_Bed_mean,Power_Bed_std,Power_Bed_min,Power_Bed_max,T_Bed_Actual_mean,T_Bed_Actual_std,T_Bed_Actual_min,T_Bed_Actual_max,Speed_Fan_Hotend_mean,Speed_Fan_Hotend_std,Speed_Fan_Hotend_min,Speed_Fan_Hotend_max,Speed_Fan_Part_mean,Speed_Fan_Part_std,Speed_Fan_Part_min,Speed_Fan_Part_max,PWM_Fan_Hotend_mean,PWM_Fan_Hotend_std,PWM_Fan_Hotend_min,PWM_Fan_Hotend_max,PWM_Fan_Part_mean,PWM_Fan_Part_std,PWM_Fan_Part_min,PWM_Fan_Part_max,T_Hotend_Setpoint_mean,T_Hotend_Setpoint_std,T_Hotend_Setpoint_min,T_Hotend_Setpoint_max,Power_Hotend_mean,Power_Hotend_std,Power_Hotend_min,Power_Hotend_max,T_Hotend_Actual_mean,T_Hotend_Actual_std,T_Hotend_Actual_min,T_Hotend_Actual_max,T_Tool_Actual_mean,T_Tool_Actual_std,T_Tool_Actual_min,T_Tool_Actual_max,T_Tool_Setpoint_mean,T_Tool_Setpoint_std,T_Tool_Setpoint_min,T_Tool_Setpoint_max,StepperOnOff_mean,StepperOnOff_std,StepperOnOff_min,StepperOnOff_max,X_Setpoint_mean,X_Setpoint_std,X_Setpoint_min,X_Setpoint_max,Y_Setpoint_mean,Y_Setpoint_std,Y_Setpoint_min,Y_Setpoint_max,Z_Setpoint_mean,Z_Setpoint_std,Z_Setpoint_min,Z_Setpoint_max,E_Setpoint_mean,E_Setpoint_std,E_Setpoint_min,E_Setpoint_max,F_Setpoint_mean,F_Setpoint_std,F_Setpoint_min,F_Setpoint_max,T_Hotend_Actual_Smooth_mean,T_Hotend_Actual_Smooth_std,T_Hotend_Actual_Smooth_min,T_Hotend_Actual_Smooth_max,Power_Hotend_Smooth_mean,Power_Hotend_Smooth_std,Power_Hotend_Smooth_min,Power_Hotend_Smooth_max,synthetic_session_progress,activity_fraction
0,2023-03-28 08:36:00+00:00,23.41194029850746,0.29619935345606074,23.2,23.9,21.20597014925373,0.023872115183008004,21.2,21.3,33.529411764705884,30.013166557579254,0.0,60.0,0.0,0.0,0.0,0.0,22.643283582089552,2.4854865922351896,20.9,29.1,3668.823529411765,643.4086684697247,0.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.47058823529412,106.59960944570658,0.0,215.0,0.0,0.0,0.0,0.0,39.857761194029855,26.413042681593563,20.75,102.98,20.95074626865672,0.0975038994221912,20.8,21.1,128.3582089552239,106.2529431310789,0.0,215.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,37.48892537313433,24.214941586545297,20.8,97.496,0.0,0.0,0.0,0.0,0.0018518634396615117,0.0
0,2023-03-28 08:37:00+00:00,23.2,0.0,23.2,23.2,21.2,0.0,21.2,21.2,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,39.27166666666667,6.137412132455813,29.2,50.4,3780.0,0.0,3780.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,173.41150000000002,35.90509372413591,105.2,216.3,20.9,0.0,20.9,20.9,215.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,169.55023333333332,37.223561825750636,100.1,215.656,0.0,0.0,0.0,0.0,0.00900800404831281,0.0
0,2023-03-28 08:38:00+00:00,24.424999999999997,2.142462848878256,23.2,28.1,22.198076923076922,1.7476584205018821,21.2,25.5,60.0,0.0,60.0,60.0,2.423076923076923,9.888290071745793,0.0,42.0,57.25192307692308,2.827213024192352,50.9,60.5,3876.923076923077,178.68296452083712,3780.0,4200.0,0.0,0.0,0.0,0.0,58.84615384615385,108.48608560193685,0.0,255.0,0.0,0.0,0.0,0.0,215.0,0.0,215.0,215.0,6.153846153846154,10.865279501353562,0.0,30.0,217.54942307692306,1.0769918408880093,215.7,219.48,69.83653846153847,85.58784279815464,20.9,216.9,215.0,0.0,215.0,215.0,0.019230769230769232,0.13867504905630726,0.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,217.5565,1.0312639779207338,215.84,219.302,5.026923076923077,9.38877334142815,0.0,27.2,0.01600349863866778,0.0
0,2023-03-28 08:39:00+00:00,28.584172003659653,0.193711048697914,28.1,29.1,28.323421774931383,0.6775983786768477,25.9,29.5,60.0,0.0,60.0,60.0,22.006404391582798,22.326517914122903,0.0,67.0,61.03851784080513,0.19369266586903705,60.7,61.6,4219.103385178408,31.195961592259554,4140.0,4260.0,0.0,0.0,0.0,0.0,255.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,215.0,0.0,215.0,215.0,32.134492223238794,7.171705548829095,17.0,46.0,214.84492223238792,0.5394036851205647,213.7,215.9,214.84492223238792,0.5394036851205647,213.7,215.9,215.0,0.0,215.0,215.0,0.9743824336688015,0.15806380030186135,0.0,1.0,126.64827499999998,21.63981522980493,60.0,153.996,97.86238248847926,26.22262752403131,-3.0,118.907,0.21231617647058823,0.06669323996433453,0.2,0.6,28.514916797804222,5.780959977045185,0.0,36.807730000000014,1875.7169117647059,2265.227169927745,720.0,10800.0,214.84660567246112,0.5354310056044567,213.7,215.9,32.13119853613907,7.059928330447837,17.0,46.0,0.025627889310250167,0.9881061299176578
0,2023-03-28 08:40:00+00:00,29.173055028463,0.33428142501581537,28.5,29.8,31.01593927893738,0.9321936494678558,29.4,32.7,60.0,0.0,60.0,60.0,41.00189753320683,30.667076452468883,0.0,102.0,60.353700189753326,0.24860938190629106,60.0,61.0,4255.104364326376,19.488187899560653,4200.0,4320.0,0.0,0.0,0.0,0.0,255.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,215.0,0.0,215.0,215.0,30.49335863377609,3.4359226087644434,23.0,39.0,215.04136622390894,0.23087787629382833,214.6,215.6,215.04136622390894,0.23087787629382833,214.6,215.6,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,131.12733965844404,10.466856921266722,110.591,145.844,103.83625616698292,8.874661479370193,95.13,114.834,0.2,0.0,0.2,0.2,54.17170990512336,10.682801895525497,36.807730000000014,73.26328000000001,1200.0,0.0,1200.0,1200.0,215.04170777988614,0.2218607063005997,214.6,215.6,30.482352941176472,3.269046523923442,23.0,39.0,0.03142095310608226,1.0
0,2023-03-28 08:41:00+00:00,29.765856353591158,0.17660440682787149,29.3,30.2,34.1475138121547,0.6946675098207684,32.5,35.2,60.0,0.0,60.0,60.0,1.72707182320442,4.030797745480222,0.0,20.0,60.711381215469615,0.1679284688920847,60.4,61.1,4278.762430939227,27.831150232923246,4260.0,4320.0,850.3425414364641,1358.455979420127,0.0,3060.0,255.0,0.0,255.0,255.0,37.22022099447514,41.75054123643404,0.0,84.15,215.0,0.0,215.0,215.0,54.99889502762431,38.245032630415906,24.0,127.0,213.12696132596685,3.074427449331304,206.1,215.4,213.12696132596685,3.074427449331304,206.1,215.4,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,114.30027071823204,15.470768559855191,97.87,153.996,108.12928066298342,8.366931665176034,91.084,118.907,0.2666850828729282,0.09040258562347739,0.2,0.75,96.61679875138121,10.001996669557863,73.26328000000001,107.55704000000006,2183.8674033149173,1750.7360222394493,720.0,10800.0,213.14596685082873,3.0568703591590216,206.1,215.4,54.793370165745856,38.08932735887498,24.0,127.0,0.04036486134851314,1.0
0,2023-03-28 08:42:00+00:00,30.430779480346434,0.4363163897967901,29.6,31.3,34.579880079946705,0.2640610767914518,33.7,35.2,60.0,0.0,60.0,60.0,53.461025982678215,40.543548356633245,0.0,127.0,59.966555629580284,0.4054964797257301,59.3,60.9,4280.066622251832,28.317171913580005,4260.0,4320.0,3076.788807461692,261.4902446261496,2880.0,4080.0,255.0,0.0,255.0,255.0,96.3201532311792,30.141330626066214,84.0,170.85,215.0,0.0,215.0,215.0,90.98067954696869,18.632166445994454,59.0,127.0,211.60093271152564,2.6995059664321066,205.8,214.8,211.60093271152564,2.6995059664321066,205.8,214.8,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,125.5140293137908,18.010689381488813,97.87,153.996,104.18031179213857,8.70573261830316,91.084,118.907,0.3761492338441039,0.07174558091673165,0.35,0.9,133.46206095936043,23.33324391271528,107.57254000000006,170.4095099999998,3828.0879413724183,1799.2270585618594,720.0,10800.0,211.5912058627582,2.7046599684482375,205.8,214.72,91.00866089273818,18.629452083701516,59.0,127.0,0.0462889030008366,1.0
0,2023-03-28 08:43:00+00:00,31.35530047265361,0.3583189837486234,30.7,32.2,33.74321404456448,0.36714227040960906,33.0,34.7,60.0,0.0,60.0,60.0,52.38217420661715,43.26422348058192,0.0,127.0,60.02302498311952,0.35866197298000463,59.3,60.7,4264.172856178258,15.268138278745715,4260.0,4320.0,4157.8663065496285,53.24888990529704,4080.0,4260.0,255.0,0.0,255.0,255.0,171.2626603646185,10.286071174893515,170.0,255.0,215.0,0.0,215.0,215.0,112.51316677920325,9.106204940076818,94.0,127.0,213.63916272788654,0.9773061990030819,211.5,214.9,213.63916272788654,0.9773061990030819,211.5,214.9,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,125.70666239027685,18.07970831554348,100.471,151.394,105.01005131667792,8.295146788858911,93.686,116.307,0.5072923700202565,0.05353227369427911,0.5,0.9,191.48238990546903,21.11440553071117,169.60950999999983,233.5090999999998,3866.981769074949,1848.1745940448395,720.0,10800.0,213.6378122889939,0.9747454663655241,211.5,214.9,112.4983119513842,9.051638860862976,94.0,127.0,0.05353891724367056,1.0
0,2023-03-28 08:44:00+00:00,32.28009543285617,0.30667737783982585,31.6,33.0,33.02903885480573,0.20037983165487097,32.6,33.5,60.0,0.0,60.0,60.0,46.27811860940695,38.445817081032544,0.0,123.0,60.01397409679618,0.25244173346834653,59.5,60.4,4260.0,0.0,4260.0,4260.0,4654.8875255623725,157.05782348968373,4260.0,4920.0,255.0,0.0,255.0,255.0,255.0,0.0,255.0,255.0,215.0,0.0,215.0,215.0,124.49147920927062,3.6531624426345,114.0,127.0,213.90865712338106,0.3138460690693984,213.3,214.7,213.90865712338106,0.3138460690693984,213.3,214.7,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,125.77888411724608,17.939152306780844,100.186,151.519,105.01099386503067,8.631285930403243,93.421,116.578,0.6538854805725971,0.03858737503508575,0.65,1.05,253.91944231083824,21.075943456394793,232.7090999999998,298.46418999999975,3728.548057259714,1761.026382663787,720.0,10800.0,213.9089706884799,0.30784418036691913,213.3,214.68,124.4815269256987,3.596884488222263,114.0,127.0,0.060963518968484176,1.0
0,2023-03-28 08:45:00+00:00,33.08991880920163,0.2408512749954926,32.6,33.8,32.58748308525034,0.12815665419444086,32.3,32.9,60.0,0.0,60.0,60.0,41.833558863328825,38.353618311221716,0.0,123.0,60.10744248985115,0.3044670055839594,59.5,60.6,4263.61299052774,14.278083317589184,4260.0,4320.0,4516.238159675237,106.93705767661916,4260.0,4740.0,255.0,0.0,255.0,255.0,255.0,0.0,255.0,255.0,215.0,0.0,215.0,215.0,123.41542625169147,3.657374764807628,115.0,127.0,214.58457374830851,0.4242706765114398,213.8,215.4,214.58457374830851,0.4242706765114398,213.8,215.4,215.0,0.0,215.0,215.0,1.0,0.0,1.0,1.0,126.045600135318,18.13517493971025,99.915,151.645,104.36606359945871,8.83866394563992,93.173,116.824,0.800575101488498,0.050401308699027585,0.65,1.2,316.66983010148806,19.6620167701579,297.8552699999996,362.8012599999993,3781.745602165088,1872.660571037139,720.0,10800.0,214.58439783491204,0.4187635458034352,213.8,215.4,123.41177266576454,3.5556200715448147,115.0,127.0,0.06837365870023997,1.0
