R,R2,MAE,MSE,RMSE,EVS,Error_Variance,Model,Session,N_Windows
-0.2048269893586288,-1.9366774100217627,0.4242078425705605,0.24624293220353877,0.4962287095720468,-1.383299870113726,0.20060450324404577,Linear Regression,18,263
0.08443034368958982,-0.36822019385355365,0.25791175622666157,0.11563324937653974,0.3400488926265453,-0.24351212932253996,0.10562991112780201,Linear Regression,19,197
0.41588469481603485,-0.772501366325282,0.26377358756692665,0.14954094386016872,0.38670524157317643,-0.15246440093484281,0.09757618773191681,Linear Regression,20,282
-0.14056567247323234,-0.8239763653922016,0.36576385594334515,0.15289016495020094,0.39101171970952603,-0.6214877718135339,0.13622319478229689,Linear Regression,21,445
-0.25184252423983866,-2.1738755940850383,0.45244453912570054,0.2650437959434673,0.5148240436726584,-1.793978632263714,0.23384606558047127,Linear Regression,22,444
-0.28635095833764845,-1.681456401110161,0.417404248990548,0.22484243060950343,0.4741755272148737,-1.0968409794287042,0.17649299961568904,Ridge,18,263
0.10045106695673878,-0.32168511349838314,0.2539223847624907,0.11170040101219035,0.33421609927140006,-0.2050358481984358,0.10236155044210318,Ridge,19,197
0.4743070235542647,-0.4659349754642368,0.25675470119500354,0.12367680162810404,0.3516771269617972,0.09074923407818447,0.07698391669105646,Ridge,20,282
-0.1549718915525156,-0.8583589161488636,0.36933233738588744,0.15577219454024138,0.394679863357939,-0.6297562638978127,0.1369178410370095,Ridge,21,445
-0.255608833206615,-2.210887134338953,0.45419329836825983,0.2681345532311485,0.5178171040349561,-1.8118778653010903,0.23534416766842714,Ridge,22,444
0.5006667409502666,-1.2301665035148113,0.33862892046536774,0.18700138369080557,0.4324365660889532,-0.1290963055698071,0.09503705611443275,Decision Tree,18,263
0.2267477193197309,-0.49933542569627587,0.28422732437794956,0.1267142730077076,0.35596948325342104,-0.08745128386499568,0.09237335106096066,Decision Tree,19,197
-0.09689204299346582,-1.4025332593214004,0.3510651133586238,0.20269495870641646,0.4502165686715855,-0.8272106968065116,0.1547052159118613,Decision Tree,20,282
-0.12653133137176106,-1.4788873898591084,0.42200710245915757,0.20778641056954594,0.45583594699139945,-1.1681130241433815,0.18214585884147058,Decision Tree,21,445
-0.13180370525351298,-1.4546699521891107,0.39119354166644016,0.20498441814450638,0.45275204929906876,-1.1940193438919917,0.18363160886484656,Decision Tree,22,444
0.5144743492840513,-1.0315372634449345,0.32359481318968464,0.17034615069543046,0.41273011847384056,0.10801236066996167,0.07507940546276827,Random Forest,18,263
0.3433369390610396,-0.21635550924603297,0.2637511399221416,0.10279861426035128,0.3206222298287367,0.11191014408662114,0.07543863090803896,Random Forest,19,197
-0.06704330493712791,-1.060812027151953,0.3203564497498977,0.17386490160941043,0.4169711040460843,-0.42085304767653064,0.12029996207005593,Random Forest,20,282
-0.39562369122171204,-0.9965616702603286,0.3778016793901996,0.16735668777907262,0.40909251738338187,-0.94665250959223,0.1635406868909303,Random Forest,21,445
