session_id,session_order,start,end,records,duration_hours,hotend_mean,hotend_std,bed_mean,bed_std,hotend_power_mean,bed_power_mean,extrusion_start,extrusion_end,extrusion_increment,cumulative_operating_hours,feedrate_mean,stepper_on_fraction,active_fraction,short_session
0,0,2023-03-28 08:36:18.084000+00:00,2023-03-28 10:49:09.800000+00:00,390087,2.214365555555556,214.8256069943551,2.525088787059779,60.018282378757505,0.5979902027655393,111.47941869377857,44.023897233181316,0.0,3107.0390300003346,3107.0390300003346,2.214365555555556,3715.8020912947354,0.9994693491451907,0.9995052385749845,False
1,1,2023-03-29 11:47:30.873000+00:00,2023-03-29 13:53:59.200000+00:00,329076,2.107868611111112,214.7192474382817,2.7590895407008973,60.00919635585701,0.6579199392120157,112.76125879735989,42.148816686722824,3107.0390300003346,14357.833839996028,11250.794809995694,4.322234166666668,4506.026819154238,0.9994013540944949,1.0,False
2,2,2023-03-30 09:46:20.938000+00:00,2023-03-30 13:17:15.121000+00:00,501569,3.515050833333333,224.45390032079334,2.48171714566104,60.0025372381467,0.44549741496499856,119.4431912658079,32.52963002099412,14357.833839996028,9312.748659998686,-5045.0851799973425,7.837285000000001,4177.928944143278,0.9995035578355121,1.0,False
3,3,2023-09-27 13:39:03.017000+00:00,2023-09-27 13:40:14.957000+00:00,34,0.0199833333333333,97.74705882352941,23.539679399661736,46.67058823529412,2.4773555563513017,0.0,0.0,9312.748659998686,9312.748659998686,0.0,7.857268333333335,3000.0,0.0,1.0,True
4,4,2023-09-28 08:06:34.197000+00:00,2023-09-28 13:11:34.578000+00:00,402412,5.083439166666667,199.68747865371807,40.265818229968836,58.36404804031689,6.307189566564527,98.82894645288908,30.99913024462491,9312.748659998686,63081.75876002609,53769.0101000274,12.940707500000002,5302.754191082771,0.9218462670099301,1.0,False
5,5,2023-10-02 08:52:53.877000+00:00,2023-10-02 14:01:52.600000+00:00,419490,5.149645277777778,206.96726382035328,21.26517049746291,59.564636105747454,3.060970924464449,107.48745858065746,29.92262032467997,63081.75876002609,77095.68257003988,14013.923810013788,18.09035277777778,7364.497722045818,0.9752890414551002,1.0,False
6,6,2023-10-09 09:22:02.858000+00:00,2023-10-09 13:12:11.400000+00:00,296296,3.835706111111111,201.19890042390043,38.008150913656884,58.53907477657477,6.115879094374801,99.54320341820342,29.22350284850285,77095.68257003988,85552.7734498615,8457.090879821626,21.926058888888893,5068.098928098928,0.9313119313119314,1.0,False
7,7,2023-10-11 08:08:23.422000+00:00,2023-10-11 13:38:30.800000+00:00,506130,5.502049444444444,204.18381176772766,29.917361400267854,59.1252573449509,4.5842814436967725,104.91207594886689,33.857497085728966,85552.7734498615,96762.8975198929,11210.124070031394,27.428108333333338,4630.736422085235,0.9570485843557979,1.0,False
8,8,2023-10-12 08:12:26.590000+00:00,2023-10-12 14:55:40.200000+00:00,553217,6.720447222222222,242.59224665908675,7.451072925931734,89.81228866791874,2.1510823224856077,93.77218162131678,61.954553095801465,96762.8975198929,116075.9593298126,19313.0618099197,34.14855555555556,5716.121535084786,0.9931527773007699,1.0,False
9,9,2023-10-18 08:01:40.498000+00:00,2023-10-18 12:44:43.521000+00:00,435979,4.717506388888889,206.03600905089465,25.08791521722499,59.3725076207799,4.147151022349676,107.12693042554803,36.348071810798224,116075.9593298126,124990.40423988868,8914.444910076083,38.86606194444445,5751.6593895485785,0.9725984508428158,1.0,False
10,10,2023-11-06 09:39:14.043000+00:00,2023-11-06 14:51:10.100000+00:00,341729,5.198904722222222,207.4221850355106,33.2725402336922,58.916708854091986,5.1640711703006,104.48534950209084,32.396024335072525,124990.40423988868,142355.04005989403,17364.63582000535,44.06496666666668,6504.751547205534,0.9414740920436955,1.0,False
11,11,2023-11-14 09:51:27.688000+00:00,2023-11-14 15:59:00.468000+00:00,445949,6.1257722222222215,204.02660140509343,30.31990743877711,59.03733386553171,4.904950526698653,102.4635574920002,32.21778499335126,142355.04005989403,155614.95977980862,13259.919719914586,50.1907388888889,7422.415596817125,0.9545172205790349,1.0,False
12,12,2023-11-15 08:07:00.967000+00:00,2023-11-15 14:09:12.800000+00:00,457983,6.036620277777778,208.24667714740502,16.96537120247572,59.71097922848664,2.6644217638438974,108.26777413135422,30.799846282503935,155614.95977980862,171504.27222963845,15889.312449829828,56.22735916666668,7433.316329983864,0.9836631490688519,1.0,False
13,13,2023-11-20 11:59:20.533000+00:00,2023-11-20 16:00:38.800000+00:00,211512,4.021740833333333,231.4524016604259,46.250427580588834,86.53899447785469,12.77393767596825,76.8395079239003,66.57825087938274,171504.27222963845,185183.5008597857,13679.228630147263,60.24910000000001,5053.888007649684,0.925247740080941,1.0,False
14,14,2023-11-22 08:34:58.991000+00:00,2023-11-22 16:12:23.119000+00:00,411864,7.623368888888889,239.4628595604374,26.517409881210025,88.90028237476449,6.500901982545052,89.37787473534954,48.70745683041004,185183.5008597857,234594.8119997761,49411.3111399904,67.8724688888889,5106.594030252704,0.9740666822057766,1.0,False
15,15,2023-11-27 08:44:19.328000+00:00,2023-11-27 15:30:48.800000+00:00,942451,6.774853333333334,240.8920116589616,21.17085148040045,89.21328143319917,5.691547824402183,83.40475419942257,62.64402711652914,234594.8119997761,254343.9118996249,19749.099899848778,74.64732222222224,3275.8113876456177,0.9855408928421743,1.0,False
16,16,2023-11-28 07:25:48.634000+00:00,2023-11-28 13:50:34.292000+00:00,592264,6.4126827777777775,234.35298164332121,40.438603017004624,87.18216116461578,11.070925005474086,74.3523783312847,69.29977172342063,254343.9118996249,267472.4663596168,13128.554459991894,81.06000500000002,4005.8722018474873,0.9414838653033107,1.0,False
17,17,2023-11-29 09:22:31.705000+00:00,2023-11-29 15:31:00.355000+00:00,1037590,6.141291666666668,240.9267764820401,18.231862912079936,89.32482290692856,4.7606569292725505,82.1732958104839,70.07045557493808,267472.4663596168,281957.8051807748,14485.338821158046,87.20129666666669,2658.735693492613,0.9800441407492362,1.0,False
18,18,2023-12-04 11:02:22.078000+00:00,2023-12-04 15:25:41.910000+00:00,126906,4.388842222222222,148.13222440231354,101.4310988859793,65.05836682268766,28.52360595947887,40.49920413534427,50.237545900115045,281957.8051807748,283856.4161707993,1898.6109900244628,91.59013888888892,3603.4352514774714,0.49275841961766975,1.0,False
19,19,2023-12-07 09:02:55.642000+00:00,2023-12-07 12:18:31.200000+00:00,281928,3.2598772222222223,217.53481310831134,62.20929361552024,79.44952931244856,19.879643285020816,70.42805609942964,64.08027226809682,283856.4161707993,288108.5118408839,4252.095670084585,94.85001611111113,4481.0284130380805,0.8725561136176613,1.0,False
20,20,2024-01-15 11:31:56.040000+00:00,2024-01-15 16:12:10.313000+00:00,316145,4.670631388888889,204.61382843315567,38.7640731183642,58.297318319125715,6.911420600979233,106.15569754384855,38.279419253823406,288108.5118408839,27928.14726999161,-260180.36457089227,99.52064750000002,5154.801963839378,0.9212007148618514,1.0,False
21,21,2024-01-17 08:16:46.679000+00:00,2024-01-17 15:40:27.778000+00:00,359036,7.394749722222222,200.2391321204559,48.312710733661085,57.52527629541328,8.378605209843418,98.0740817076839,30.86230907207077,27928.14726999161,35846.013679987685,7917.866409996077,106.91539722222224,3902.265472771533,0.9038842901547477,1.0,False
22,22,2024-01-18 09:10:03.705000+00:00,2024-01-18 16:33:35.600000+00:00,319544,7.3921930555555555,185.76723700022532,54.856777506907044,57.45412587937811,10.157187000017649,84.21739729113987,27.261422527101118,35846.013679987685,53634.25970000821,17788.246020020524,114.30759027777779,4226.00779232281,0.8267093107678442,1.0,False
