timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint,session_id,hour,dayofweek,minute,is_active,utilization,T_Hotend_Actual_Smooth,Power_Hotend_Smooth,hotend_zscore,power_zscore,session_elapsed_seconds,session_elapsed_hours
2023-11-28 11:49:13.488000+00:00,43.1,44.0,90.0,49.0,90.1,4320.0,3060.0,255.0,76.0,243.0,94.0,242.6,242.6,243.0,1.0,157.811,50.238,7.0,264008.98031959624,3000.0,16,11,1,49,1,1.0,242.6,94.0,0.203939249662283,0.7300400435608596,15804.854,4.390237222222222
2023-10-09 12:13:13.207000+00:00,44.0,35.5,60.0,39.0,59.9,4380.0,4500.0,255.0,255.0,210.0,123.0,209.6,209.6,210.0,1.0,86.41,100.252,2.0,84892.21049988324,2100.0,6,12,0,13,1,1.0,209.84,119.0,0.2210341564677674,0.6571208323502138,10270.349,2.8528747222222224
2023-11-29 13:06:09.919000+00:00,42.9,45.8,90.0,56.0,90.0,4320.0,2820.0,255.0,76.0,243.0,72.0,243.6,243.6,243.0,1.0,147.223,127.467,19.0,277053.806770728,2400.0,17,13,2,6,1,1.0,243.6,72.0,0.1466237175460851,-0.5825874557878759,13418.214,3.727281666666667
2023-03-28 10:02:27.297000+00:00,38.9,33.7,60.0,21.0,60.1,4320.0,4500.0,255.0,255.0,215.0,107.0,215.8,215.8,215.0,1.0,122.208,111.571,10.4,2393.0211699999986,2700.0,0,10,1,2,1,1.0,215.8,107.0,0.3858846511213406,-0.3928689072525535,5169.213,1.4358925
2023-10-11 12:38:41.109000+00:00,45.7,34.8,60.0,16.0,60.1,4320.0,4620.0,255.0,255.0,210.0,91.0,211.0,211.0,210.0,1.0,119.238,96.88,50.85,96204.85620988776,720.0,7,12,2,38,1,1.0,210.92,92.6,0.2278338701424129,-0.5679156847851634,16217.687,4.504913055555556
2023-03-30 12:19:15.800000+00:00,39.7,35.4,60.0,36.0,59.9,4260.0,4920.0,255.0,255.0,225.0,113.0,225.1,225.1,225.0,1.0,111.056,114.503,25.4,8229.20561999993,1138.0,2,12,3,19,1,1.0,225.34,108.2,0.2603438028125701,-0.6410429812990149,9174.862,2.5485727777777774
2023-10-09 12:14:44.407000+00:00,44.3,35.4,60.0,28.0,60.1,4320.0,4320.0,255.0,255.0,210.0,108.0,210.5,210.5,210.0,1.0,119.342,154.924,2.0,84952.36095988087,2100.0,6,12,0,14,1,1.0,210.5,108.0,0.2447132878742006,0.2369094684122031,10361.549,2.878208055555556
2023-11-20 15:11:06.304000+00:00,45.1,44.4,90.0,70.0,90.0,4380.0,2880.0,255.0,76.0,243.0,80.0,243.4,243.4,243.0,1.0,183.515,142.773,26.0,184152.67624978,8640.0,13,15,0,11,1,1.0,243.2,83.6,0.2583240623831159,0.1325882223832317,11505.771,3.1960475
2023-10-18 10:09:53.411000+00:00,42.8,32.2,60.0,35.0,60.0,4260.0,4320.0,255.0,255.0,210.0,113.0,210.1,210.1,210.0,1.0,171.347,56.782,19.85,121120.26926984466,12000.0,9,10,2,9,1,1.0,210.1,113.0,0.1619899825839296,0.2768782748893665,7692.913,2.1369202777777776
2023-11-29 10:24:42.849000+00:00,42.4,42.4,90.0,85.0,89.9,4440.0,3000.0,255.0,76.0,243.0,91.0,242.6,242.6,243.0,1.0,187.531,67.727,3.2,270530.4924097333,2400.0,17,10,2,24,1,1.0,242.6,91.0,0.0917746873168489,0.505473077020235,3731.144,1.0364288888888888
