timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2023-03-28 10:05:41.145000+00:00,39.0,33.5,60.0,32.0,60.0,4260.0,4440.0,255.0,255.0,215.0,127.0,213.0,213.0,215.0,1.0,100.452,108.411,10.55,2448.7209900000244,2700.0
2023-10-12 12:35:30.417000+00:00,47.7,40.0,90.0,101.0,89.8,4380.0,3660.0,255.0,124.0,243.0,106.0,242.7,242.7,243.0,1.0,143.297,32.479,42.2,111360.74732984656,5892.0
2023-03-28 10:02:59.800000+00:00,38.9,34.2,60.0,19.0,60.1,4260.0,4080.0,255.0,255.0,215.0,116.0,215.0,215.0,215.0,1.0,111.684,119.987,10.4,2403.205620000002,2700.0
2023-10-18 12:22:02.400000+00:00,35.3,27.9,0.0,0.0,38.8,4260.0,0.0,255.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,0.0,200.0,93.95,124990.40423988868,3000.0
2023-03-29 12:28:11.862000+00:00,38.7,32.1,60.0,53.0,59.9,4260.0,4500.0,255.0,255.0,215.0,94.0,216.4,216.4,215.0,1.0,145.289,121.209,8.4,11540.241679998271,2100.0
2023-10-09 11:27:17.807000+00:00,43.4,35.5,60.0,10.0,60.1,4260.0,4200.0,255.0,255.0,210.0,114.0,210.3,210.3,210.0,1.0,92.948,70.99,0.8,82195.48771992924,720.0
2023-11-27 11:14:14.757000+00:00,42.6,42.9,90.0,62.0,90.0,4320.0,3000.0,255.0,76.0,243.0,77.0,243.8,243.8,243.0,1.0,182.207,37.364,2.4,243871.9386197388,1500.0
2023-10-09 09:48:04.200000+00:00,41.6,34.8,60.0,31.0,60.1,4380.0,4320.0,255.0,255.0,210.0,121.0,209.8,209.8,210.0,1.0,154.74,145.954,0.65,77944.98766001916,12000.0
2023-11-06 13:11:31.222000+00:00,44.0,35.0,60.0,28.0,60.0,4380.0,4500.0,255.0,255.0,215.0,121.0,214.9,214.9,215.0,1.0,113.345,131.71,2.6,136048.4830898931,11023.117
2023-11-22 12:30:02.832000+00:00,40.6,37.9,90.0,43.0,89.9,4320.0,3000.0,255.0,76.0,243.0,72.0,243.4,243.4,243.0,1.0,99.319,117.824,27.6,211930.1654397884,2100.0
2023-11-29 14:53:02.420000+00:00,43.0,40.5,90.0,82.0,90.0,4380.0,3900.0,255.0,124.0,243.0,89.0,243.8,243.8,243.0,1.0,136.809,96.509,19.2,280979.40442080697,1823.0
2023-11-28 10:29:35.200000+00:00,42.8,46.4,90.0,90.0,89.8,4380.0,2940.0,255.0,76.0,243.0,80.0,243.5,243.5,243.0,1.0,128.597,95.61,3.4,260858.4328295552,2100.0
2023-10-12 08:31:18.400000+00:00,42.6,50.5,90.0,43.0,90.4,4440.0,0.0,255.0,0.0,243.0,48.0,242.6,242.6,243.0,1.0,102.173,73.461,0.35,97467.9972998936,7625.82
2024-01-15 15:11:40.210000+00:00,40.0,28.9,60.0,18.0,60.2,4200.0,3720.0,255.0,255.0,215.0,122.0,214.8,214.8,215.0,1.0,121.503,109.857,3.2,26577.55122999301,1500.0
