session_id,total_rows,train_rows,test_rows,train_progress_min,train_progress_max,test_progress_min,test_progress_max
0,390087,273060,117027,0.0,0.7419568133134697,0.7419589458530634,1.0
1,329076,230353,98723,0.0,0.7897640678900633,0.7897663081730664,1.0
2,501569,351098,150471,0.0,0.7139139682111441,0.7139155487161833,1.0
4,402412,281688,120724,0.0,0.6365851618061941,0.6365862546796157,1.0
5,419490,293643,125847,0.0,0.685267480397652,0.685270177455049,1.0
6,296296,207407,88889,0.0,0.6274222868714163,0.6274240249260205,1.0
7,506130,354291,151839,0.0,0.6760046180771629,0.676005274398257,1.0
8,553217,387251,165966,0.0,0.7126417264724032,0.7126422224711401,1.0
9,435979,305185,130794,0.0,0.6502517249137565,0.6502527259134018,1.0
10,341729,239210,102519,0.0,0.6583414978913561,0.6583416047514709,1.0
11,445949,312164,133785,0.0,0.5942974990001261,0.5942996302506987,1.0
12,457983,320588,137395,0.0,0.6894847756284526,0.6894877666324788,1.0
13,211512,148058,63454,0.0,0.6420985329252459,0.6421013647558785,1.0
14,411864,288304,123560,0.0,0.7137692988460046,0.713770501289019,1.0
15,942451,659715,282736,0.0,0.6812346327136561,0.6812352887344179,1.0
16,592264,414584,177680,0.0,0.6322520674957587,0.6322525439820689,1.0
17,1037590,726313,311277,0.0,0.5159201489009958,0.515920736906143,1.0
18,126906,88834,38072,0.0,0.831791186134131,0.8317920089276899,1.0
19,281928,197349,84579,0.0,0.39877362456902343,0.3987746471024215,1.0
20,316145,221301,94844,0.0,0.7382623679299128,0.7382632600291431,1.0
21,359036,251325,107711,0.0,0.7857928780475968,0.7857944181793547,1.0
22,319544,223680,95864,0.0,0.6079938689071184,0.6079948459138291,1.0
